created_at,package,version,author,license,size,summary
2026-09-23T12:48:13Z,pocketsynth,0.1.0,Pocketsynth contributors,Apache-2.0,180019,UtterPlan-aware Python synthesis runtime for Pocket TTS ONNX bundles
2026-09-23T12:49:36Z,bhanuj-governance-plugin-api,1.0.0,BHANUJ AI,Apache-2.0,12810,"Public, provider-neutral plugin contracts for BHANUJ AI Governance."
2026-09-23T12:50:45Z,sys1-decision-guard,0.1.1,Ashish Patil <ashishtp2005@gmail.com>,,34159,"Calibration, threshold management, and safety guardrails for System 1 decision models."
2026-09-23T12:51:39Z,arc56-generated-tripleight-spm,1.2.2026072010,TriplEight,,15429,Generated ARC-56 Algorand smart-contract clients for TriplEight/SPM.
2026-09-23T12:52:35Z,deepseek-team,0.8.1,kirill31337,MIT,388094,Delegate bounded coding tasks from Codex and/or Claude Code to isolated DeepSeek workers.
2026-09-23T12:52:43Z,arc56-generated-compx-ec407638,1.1.2026092312,compx-labs,,4574,Generated ARC-56 Algorand smart-contract clients for compx-labs/canix402.
2026-09-23T12:54:38Z,scrapy-proxlane,0.1.0,Sam Öjling,Apache-2.0,173632,"Scrapy downloader middleware for Proxlane: one gateway in front of your scraping APIs, with failover and honest outcomes."
2026-09-23T12:56:34Z,station-profit-mcp,0.1.1,,,10692,场站收益查询 MCP 服务（固德威 WE 平台场站搜索 + 收益组成接口封装）
2026-09-23T12:56:54Z,arc56-generated-ciott-4da7bb25,1.2.2026072010,CiottiGiorgio,,75725,Generated ARC-56 Algorand smart-contract clients for CiottiGiorgio/lib-pcg-avm.
2026-09-23T12:57:03Z,rlmness,0.2.1,,MIT,193919,"A Recursive Language Model runtime: the model works on your input through code, and hands pieces to sub-agents of itself."
2026-09-23T12:57:59Z,arc56-generated-ciott-0b0129e0,1.2.2026072010,CiottiGiorgio,,29929,Generated ARC-56 Algorand smart-contract clients for CiottiGiorgio/verifiable-shuffle.
2026-09-23T12:59:02Z,hydrust,0.5.0,Matthew Lyon,MIT,40450386,Language server and CLI checker for Hydra configuration files
2026-09-23T12:59:26Z,sentinella-monitor,1.0.0,Salvatore Corvaglia,MIT,357853,"Cross-platform system monitor with TUI, web dashboard, and remote monitoring"
2026-09-23T12:59:57Z,tiendat-baitappyi,0.1.0,Pham Tien Dat <your_email@example.com>,,3417,Thu vien tinh toan va hinh hoc
